module,GO_BP_ID,0_Level_Pathway,1_Level_Pathway,2_Level_Pathway,3_Level_Pathway,4_Level_Pathway,5_Level_Pathway,6_Level_Pathway,7_Level_Pathway,8_Level_Pathway,9_Level_Pathway,10_Level_Pathway,11_Level_Pathway
K1_cpdb_1,GO:0030198,biological_process,cellular process,cellular component organization or biogenesis,cellular component organization,"extracellular structure organization, external encapsulating structure organization",,,,,,,
K1_cpdb_5,GO:0001582,biological_process,response to stimulus,detection of stimulus,"detection of stimulus involved in sensory perception, detection of chemical stimulus",detection of chemical stimulus involved in sensory perception,detection of chemical stimulus involved in sensory perception of taste,,,,,,
K1_cpdb_6,GO:0016339,biological_process,cellular process,cell adhesion,cell-cell adhesion,cell-cell adhesion via plasma-membrane adhesion molecules,,,,,,,
K1_cpdb_11,GO:0070098,biological_process,"cellular process, biological regulation","signal transduction, regulation of biological process","cell surface receptor signaling pathway, regulation of cellular process, G protein-coupled receptor signaling pathway",cytokine-mediated signaling pathway,,,,,,,
K1_cpdb_15,GO:0033141,biological_process,biological regulation,regulation of biological process,"regulation of cellular process, positive regulation of biological process","positive regulation of cellular process, regulation of metabolic process","regulation of primary metabolic process, regulation of macromolecule metabolic process, regulation of phosphorus metabolic process, positive regulation of metabolic process","positive regulation of phosphorus metabolic process, regulation of protein metabolic process, positive regulation of macromolecule metabolic process, regulation of phosphate metabolic process","positive regulation of protein metabolic process, regulation of phosphorylation, regulation of protein modification process, positive regulation of phosphate metabolic process","regulation of protein phosphorylation, positive regulation of protein modification process, positive regulation of phosphorylation","regulation of peptidyl-serine phosphorylation, positive regulation of protein phosphorylation","positive regulation of peptidyl-serine phosphorylation, regulation of peptidyl-serine phosphorylation of STAT protein",
K1_cpdb_22,GO:0140053,biological_process,cellular process,metabolic process,"biosynthetic process, macromolecule metabolic process",macromolecule biosynthetic process,gene expression,,,,,,
K1_cpdb_23,GO:0035567,biological_process,"cellular process, biological regulation","signal transduction, regulation of biological process","cell surface receptor signaling pathway, regulation of cellular process",Wnt signaling pathway,,,,,,,
K1_cpdb_24,GO:0090174,biological_process,cellular process,cellular component organization or biogenesis,cellular component organization,"organelle organization, membrane organization","organelle fusion, membrane fusion",,,,,,
K1_cpdb_25,GO:0099022,biological_process,cellular process,cellular component organization or biogenesis,cellular component organization,,,,,,,,
K1_cpdb_27,GO:0035720,biological_process,"localization, cellular process","microtubule-based process, establishment of localization, protein-containing complex localization, cellular localization","microtubule-based movement, intraciliary transport, intracellular transport, transport, establishment of localization in cell","microtubule-based transport, transport along microtubule, cytoskeleton-dependent intracellular transport",,,,,,,
K1_cpdb_28,GO:0019646,biological_process,cellular process,metabolic process,generation of precursor metabolites and energy,"energy derivation by oxidation of organic compounds, electron transport chain","cellular respiration, respiratory electron transport chain",aerobic respiration,,,,,
K1_cpdb_29,GO:0006506,biological_process,cellular process,metabolic process,"carbohydrate derivative metabolic process, phosphorus metabolic process, primary metabolic process, biosynthetic process","lipid biosynthetic process, carbohydrate derivative biosynthetic process, phosphate-containing compound metabolic process, liposaccharide metabolic process, organophosphate metabolic process, lipid metabolic process, organophosphate biosynthetic process","phospholipid biosynthetic process, glycolipid metabolic process, glycerolipid metabolic process, membrane lipid biosynthetic process, glycolipid biosynthetic process, membrane lipid metabolic process, phospholipid metabolic process, glycerolipid biosynthetic process","glycerophospholipid metabolic process, GPI anchor metabolic process, glycerophospholipid biosynthetic process","phosphatidylinositol metabolic process, phosphatidylinositol biosynthetic process",,,,
K1_cpdb_30,GO:0060261,biological_process,biological regulation,regulation of biological process,"regulation of cellular process, positive regulation of biological process","positive regulation of cellular process, regulation of metabolic process","regulation of primary metabolic process, regulation of macromolecule metabolic process, regulation of biosynthetic process, positive regulation of metabolic process","positive regulation of biosynthetic process, regulation of nucleobase-containing compound metabolic process, regulation of RNA metabolic process, regulation of macromolecule biosynthetic process, positive regulation of nucleobase-containing compound metabolic process, positive regulation of macromolecule metabolic process","regulation of gene expression, regulation of RNA biosynthetic process, positive regulation of macromolecule biosynthetic process, positive regulation of RNA metabolic process","positive regulation of RNA biosynthetic process, regulation of DNA-templated transcription","regulation of DNA-templated transcription initiation, regulation of transcription by RNA polymerase II, positive regulation of DNA-templated transcription","regulation of transcription initiation by RNA polymerase II, positive regulation of transcription by RNA polymerase II, positive regulation of DNA-templated transcription initiation",
K1_cpdb_31,GO:0071805,biological_process,"localization, cellular process","transmembrane transport, establishment of localization","inorganic ion transmembrane transport, transport, monoatomic ion transmembrane transport","inorganic cation transmembrane transport, monoatomic cation transmembrane transport, monoatomic ion transport",monoatomic cation transport,metal ion transport,potassium ion transport,,,,
K1_cpdb_34,GO:0032543,biological_process,cellular process,metabolic process,"primary metabolic process, biosynthetic process, macromolecule metabolic process","macromolecule biosynthetic process, protein metabolic process",translation,,,,,,
K1_cpdb_37,GO:0030509,biological_process,"cellular process, biological regulation","signal transduction, regulation of biological process","cell surface receptor signaling pathway, regulation of cellular process",enzyme-linked receptor protein signaling pathway,cell surface receptor protein serine/threonine kinase signaling pathway,transforming growth factor beta receptor superfamily signaling pathway,,,,,
K1_cpdb_39,GO:0002484,biological_process,immune system process,antigen processing and presentation,"antigen processing and presentation of endogenous antigen, antigen processing and presentation of peptide antigen","antigen processing and presentation of peptide antigen via MHC class I, antigen processing and presentation of endogenous peptide antigen",antigen processing and presentation of endogenous peptide antigen via MHC class I,,,,,,
K1_cpdb_41,GO:0090092,biological_process,biological regulation,regulation of biological process,"regulation of signaling, regulation of cellular process, regulation of response to stimulus","regulation of signal transduction, regulation of cell communication",,,,,,,
K1_cpdb_42,GO:0043038,biological_process,cellular process,metabolic process,primary metabolic process,amino acid metabolic process,,,,,,,
K1_cpdb_43,GO:0008543,biological_process,"cellular process, biological regulation","signal transduction, regulation of biological process","cell surface receptor signaling pathway, regulation of cellular process",enzyme-linked receptor protein signaling pathway,cell surface receptor protein tyrosine kinase signaling pathway,,,,,,
K1_cpdb_46,GO:0071805,biological_process,"localization, cellular process","transmembrane transport, establishment of localization","inorganic ion transmembrane transport, transport, monoatomic ion transmembrane transport","inorganic cation transmembrane transport, monoatomic cation transmembrane transport, monoatomic ion transport",monoatomic cation transport,metal ion transport,potassium ion transport,,,,
K1_cpdb_47,GO:1990840,biological_process,response to stimulus,response to biotic stimulus,,,,,,,,,
K1_cpdb_49,GO:0030574,biological_process,cellular process,metabolic process,"catabolic process, collagen metabolic process",,,,,,,,
K1_cpdb_50,GO:0140053,biological_process,cellular process,metabolic process,"biosynthetic process, macromolecule metabolic process",macromolecule biosynthetic process,gene expression,,,,,,
K1_cpdb_51,GO:0007210,biological_process,"cellular process, biological regulation","signal transduction, regulation of biological process",regulation of cellular process,,,,,,,,
K1_cpdb_53,GO:0007608,biological_process,multicellular organismal process,system process,nervous system process,sensory perception,sensory perception of chemical stimulus,,,,,,
K1_cpdb_56,GO:0002224,biological_process,"cellular process, immune system process, biological regulation","signal transduction, activation of immune response, regulation of biological process","regulation of cellular process, activation of innate immune response, immune response-activating signaling pathway, regulation of immune system process, immune response-regulating signaling pathway, positive regulation of biological process, regulation of response to stimulus","positive regulation of response to stimulus, regulation of response to external stimulus, regulation of immune response, regulation of response to biotic stimulus, positive regulation of immune system process, regulation of response to stress, innate immune response-activating signaling pathway","regulation of defense response, positive regulation of immune response, regulation of innate immune response, positive regulation of response to external stimulus, positive regulation of response to biotic stimulus, pattern recognition receptor signaling pathway, positive regulation of defense response",positive regulation of innate immune response,,,,,
K1_cpdb_57,GO:0007264,biological_process,"cellular process, biological regulation","signal transduction, regulation of biological process","regulation of cellular process, intracellular signal transduction",intracellular signaling cassette,,,,,,,
K1_cpdb_58,GO:0045109,biological_process,cellular process,"cellular component organization or biogenesis, intermediate filament-based process","cellular component organization, intermediate filament cytoskeleton organization","organelle organization, supramolecular fiber organization",cytoskeleton organization,,,,,,
K1_cpdb_59,GO:0033141,biological_process,biological regulation,regulation of biological process,"regulation of cellular process, positive regulation of biological process","positive regulation of cellular process, regulation of metabolic process","regulation of primary metabolic process, regulation of macromolecule metabolic process, regulation of phosphorus metabolic process, positive regulation of metabolic process","positive regulation of phosphorus metabolic process, regulation of protein metabolic process, positive regulation of macromolecule metabolic process, regulation of phosphate metabolic process","positive regulation of protein metabolic process, regulation of phosphorylation, regulation of protein modification process, positive regulation of phosphate metabolic process","regulation of protein phosphorylation, positive regulation of protein modification process, positive regulation of phosphorylation","regulation of peptidyl-serine phosphorylation, positive regulation of protein phosphorylation","positive regulation of peptidyl-serine phosphorylation, regulation of peptidyl-serine phosphorylation of STAT protein",
K1_cpdb_61,GO:0035249,biological_process,"cellular process, biological regulation","regulation of biological process, cell communication","signaling, cell-cell signaling",synaptic signaling,trans-synaptic signaling,anterograde trans-synaptic signaling,chemical synaptic transmission,,,,
K1_cpdb_62,GO:0007186,biological_process,"cellular process, biological regulation","signal transduction, regulation of biological process",regulation of cellular process,,,,,,,,
K1_cpdb_74,GO:0000301,biological_process,"localization, cellular process","vesicle-mediated transport, establishment of localization","transport, Golgi vesicle transport",intra-Golgi vesicle-mediated transport,,,,,,,
K1_cpdb_75,GO:0061640,biological_process,cellular process,cell cycle process,cytokinesis,,,,,,,,
K1_cpdb_76,GO:0031145,biological_process,cellular process,metabolic process,"primary metabolic process, macromolecule metabolic process, catabolic process","macromolecule catabolic process, protein metabolic process","proteolysis, protein catabolic process, modification-dependent macromolecule catabolic process","proteasomal protein catabolic process, modification-dependent protein catabolic process, proteolysis involved in protein catabolic process","ubiquitin-dependent protein catabolic process, proteasome-mediated ubiquitin-dependent protein catabolic process",,,,
K1_cpdb_77,GO:0034315,biological_process,biological regulation,regulation of biological process,regulation of cellular process,"regulation of cellular component organization, regulation of actin filament-based process","regulation of organelle organization, regulation of supramolecular fiber organization, regulation of actin cytoskeleton organization","regulation of actin filament organization, regulation of cytoskeleton organization",regulation of actin nucleation,,,,
K1_cpdb_78,GO:0016072,biological_process,cellular process,metabolic process,"primary metabolic process, macromolecule metabolic process","nucleic acid metabolic process, nucleobase-containing compound metabolic process",RNA metabolic process,,,,,,
K1_cpdb_82,GO:0048490,biological_process,"localization, cellular process","establishment of localization, organelle localization, microtubule-based process, cellular localization, synaptic vesicle transport","synaptic vesicle cytoskeletal transport, microtubule-based movement, intracellular transport, vesicle localization, transport, establishment of organelle localization, establishment of localization in cell","transport along microtubule, synaptic vesicle localization, establishment of vesicle localization, organelle transport along microtubule, cytoskeleton-dependent intracellular transport, microtubule-based transport, synaptic vesicle transport along microtubule","vesicle transport along microtubule, vesicle cytoskeletal trafficking, axo-dendritic transport",axonal transport,anterograde axonal transport,,,,
K1_cpdb_83,GO:0000301,biological_process,"localization, cellular process","vesicle-mediated transport, establishment of localization","transport, Golgi vesicle transport",intra-Golgi vesicle-mediated transport,,,,,,,
K1_cpdb_85,GO:0051169,biological_process,"localization, cellular process","cellular localization, establishment of localization","intracellular transport, transport, establishment of localization in cell",,,,,,,,
K1_cpdb_86,GO:0016180,biological_process,cellular process,metabolic process,"primary metabolic process, macromolecule metabolic process","nucleic acid metabolic process, nucleobase-containing compound metabolic process, RNA processing",RNA metabolic process,snRNA metabolic process,,,,,
K1_cpdb_91,GO:0001732,biological_process,cellular process,cellular component organization or biogenesis,cellular component organization,"protein-containing complex organization, cellular component assembly","protein-RNA complex organization, protein-containing complex assembly",protein-RNA complex assembly,,,,,
K1_cpdb_93,GO:1904851,biological_process,biological regulation,regulation of biological process,"regulation of localization, regulation of cellular process, positive regulation of biological process","positive regulation of cellular process, regulation of cellular localization","positive regulation of protein localization, regulation of protein localization","regulation of protein localization to chromosome, telomeric region, positive regulation of protein localization to chromosome, telomeric region, positive regulation of establishment of protein localization, regulation of establishment of protein localization","regulation of establishment of protein localization to telomere, regulation of establishment of protein localization to chromosome",,,,
K1_cpdb_94,GO:0019083,biological_process,viral process,,,,,,,,,,
K1_cpdb_124,GO:0007565,biological_process,"reproductive process, multicellular organismal process","multi-organism reproductive process, multi-multicellular organism process",,,,,,,,,
K1_cpdb_131,GO:0007601,biological_process,multicellular organismal process,system process,nervous system process,sensory perception,sensory perception of light stimulus,,,,,,
K1_cpdb_135,GO:0007186,biological_process,"cellular process, biological regulation","signal transduction, regulation of biological process",regulation of cellular process,,,,,,,,
K1_cpdb_158,GO:0036297,biological_process,"response to stimulus, cellular process","metabolic process, cellular response to stimulus, response to stress","cellular response to stress, primary metabolic process, macromolecule metabolic process","nucleic acid metabolic process, DNA damage response, nucleobase-containing compound metabolic process","DNA metabolic process, DNA repair",,,,,,
K1_cpdb_173,GO:0008608,biological_process,cellular process,cell cycle process,,,,,,,,,
K1_cpdb_175,GO:0034058,biological_process,cellular process,cellular component organization or biogenesis,cellular component organization,"organelle organization, membrane organization","organelle fusion, vesicle organization, membrane fusion","vesicle fusion, organelle membrane fusion",,,,,
K1_cpdb_181,GO:1904903,biological_process,cellular process,cellular component organization or biogenesis,cellular component organization,"protein-containing complex organization, cellular component disassembly",protein-containing complex disassembly,ESCRT complex disassembly,,,,,
K1_cpdb_191,GO:0016071,biological_process,cellular process,metabolic process,"primary metabolic process, macromolecule metabolic process","nucleic acid metabolic process, nucleobase-containing compound metabolic process",RNA metabolic process,,,,,,
K1_cpdb_211,GO:0070782,biological_process,"localization, cellular process, biological regulation","cellular component organization or biogenesis, establishment of localization, regulation of biological quality","cellular component organization, regulation of membrane lipid distribution, transport","lipid translocation, lipid transport, organophosphate ester transport, membrane organization","plasma membrane organization, phospholipid translocation, phospholipid transport",plasma membrane phospholipid scrambling,,,,,
K1_cpdb_230,GO:0016338,biological_process,cellular process,cell adhesion,cell-cell adhesion,cell-cell adhesion via plasma-membrane adhesion molecules,,,,,,,
K1_cpdb_245,GO:0006402,biological_process,"cellular process, biological regulation","regulation of biological process, metabolic process","primary metabolic process, regulation of cellular process, catabolic process, negative regulation of biological process, macromolecule metabolic process","nucleobase-containing compound metabolic process, macromolecule catabolic process, nucleic acid metabolic process, negative regulation of cellular process, nucleobase-containing compound catabolic process, regulation of metabolic process","nucleic acid catabolic process, regulation of macromolecule metabolic process, RNA metabolic process, negative regulation of metabolic process, regulation of biosynthetic process","negative regulation of biosynthetic process, mRNA metabolic process, RNA catabolic process, negative regulation of macromolecule metabolic process, regulation of macromolecule biosynthetic process","negative regulation of macromolecule biosynthetic process, regulation of gene expression",negative regulation of gene expression,,,
K1_cpdb_246,GO:0000289,biological_process,"cellular process, biological regulation","regulation of biological process, metabolic process","primary metabolic process, regulation of cellular process, catabolic process, negative regulation of biological process, macromolecule metabolic process","nucleobase-containing compound metabolic process, macromolecule catabolic process, nucleic acid metabolic process, negative regulation of cellular process, nucleobase-containing compound catabolic process, regulation of metabolic process","nucleic acid catabolic process, regulation of macromolecule metabolic process, RNA metabolic process, negative regulation of metabolic process, regulation of biosynthetic process","negative regulation of biosynthetic process, mRNA metabolic process, RNA catabolic process, negative regulation of macromolecule metabolic process, regulation of macromolecule biosynthetic process","negative regulation of macromolecule biosynthetic process, regulation of gene expression, mRNA catabolic process","nuclear-transcribed mRNA catabolic process, negative regulation of gene expression",,,
K1_cpdb_248,GO:0050731,biological_process,biological regulation,regulation of biological process,"regulation of cellular process, positive regulation of biological process","positive regulation of cellular process, regulation of metabolic process","regulation of primary metabolic process, regulation of macromolecule metabolic process, regulation of phosphorus metabolic process, positive regulation of metabolic process","positive regulation of phosphorus metabolic process, regulation of protein metabolic process, positive regulation of macromolecule metabolic process, regulation of phosphate metabolic process","regulation of phosphorylation, positive regulation of protein metabolic process, positive regulation of phosphate metabolic process, regulation of protein modification process","regulation of protein phosphorylation, positive regulation of protein modification process, positive regulation of phosphorylation","regulation of peptidyl-tyrosine phosphorylation, positive regulation of protein phosphorylation",,
K1_cpdb_251,GO:0007214,biological_process,"cellular process, biological regulation","regulation of biological process, cell communication","signaling, cell-cell signaling",,,,,,,,
K1_cpdb_276,GO:0090522,biological_process,cellular process,"cellular component organization or biogenesis, exocytic process",cellular component organization,vesicle tethering,,,,,,,
K1_cpdb_277,GO:0043001,biological_process,"localization, cellular process","macromolecule localization, vesicle-mediated transport, cellular localization, establishment of localization","vesicle-mediated transport to the plasma membrane, establishment of protein localization, cellular macromolecule localization, transport, localization within membrane, Golgi vesicle transport","Golgi to plasma membrane transport, nitrogen compound transport, protein transport, establishment of protein localization to membrane, post-Golgi vesicle-mediated transport, protein localization to membrane, protein localization","protein localization to cell periphery, protein localization to plasma membrane, establishment of protein localization to plasma membrane",,,,,,
K1_cpdb_281,GO:0014003,biological_process,"developmental process, cellular process","anatomical structure development, cellular developmental process",cell development,glial cell development,,,,,,,
K1_cpdb_286,GO:0006891,biological_process,"localization, cellular process","vesicle-mediated transport, establishment of localization","transport, Golgi vesicle transport",,,,,,,,
K1_cpdb_291,GO:0071577,biological_process,"localization, cellular process","transmembrane transport, establishment of localization","inorganic ion transmembrane transport, transport, monoatomic ion transmembrane transport","inorganic cation transmembrane transport, monoatomic cation transmembrane transport, monoatomic ion transport",monoatomic cation transport,metal ion transport,transition metal ion transport,zinc ion transport,,,
K1_cpdb_300,GO:0035721,biological_process,"localization, cellular process","microtubule-based process, establishment of localization, protein-containing complex localization, cellular localization","microtubule-based movement, intraciliary transport, intracellular transport, transport, establishment of localization in cell","microtubule-based transport, transport along microtubule, cytoskeleton-dependent intracellular transport",,,,,,,
K1_cpdb_310,GO:1905168,biological_process,biological regulation,regulation of biological process,"regulation of cellular process, positive regulation of biological process, regulation of response to stimulus","positive regulation of response to stimulus, regulation of cellular response to stress, regulation of metabolic process, positive regulation of cellular process, regulation of response to stress","regulation of primary metabolic process, regulation of macromolecule metabolic process, positive regulation of metabolic process, regulation of DNA repair, positive regulation of DNA repair","regulation of DNA metabolic process, regulation of double-strand break repair, regulation of nucleobase-containing compound metabolic process, positive regulation of double-strand break repair, positive regulation of nucleobase-containing compound metabolic process, positive regulation of macromolecule metabolic process","positive regulation of DNA metabolic process, regulation of DNA recombination, regulation of double-strand break repair via homologous recombination",positive regulation of DNA recombination,,,
K1_cpdb_322,GO:0007596,biological_process,"biological regulation, multicellular organismal process","coagulation, regulation of biological quality",regulation of body fluid levels,hemostasis,,,,,,,
K1_cpdb_327,GO:0007186,biological_process,"cellular process, biological regulation","signal transduction, regulation of biological process",regulation of cellular process,,,,,,,,
K1_cpdb_328,GO:0007188,biological_process,"cellular process, biological regulation","signal transduction, regulation of biological process","G protein-coupled receptor signaling pathway, regulation of cellular process",,,,,,,,
K1_cpdb_348,GO:1901663,biological_process,cellular process,metabolic process,"ketone metabolic process, biosynthetic process, small molecule metabolic process","ketone biosynthetic process, quinone metabolic process, small molecule biosynthetic process",,,,,,,
K1_cpdb_350,GO:0090156,biological_process,homeostatic process,"cellular homeostasis, chemical homeostasis","intracellular chemical homeostasis, lipid homeostasis",,,,,,,,
K1_cpdb_367,GO:0090110,biological_process,"localization, cellular process","cellular localization, establishment of localization","intracellular transport, transport, establishment of localization in cell",vesicle cargo loading,,,,,,,
K1_cpdb_368,GO:0035654,biological_process,localization,establishment of localization,transport,vesicle cargo loading,clathrin-coated vesicle cargo loading,,,,,,
K1_cpdb_373,GO:0006412,biological_process,cellular process,metabolic process,"primary metabolic process, biosynthetic process, macromolecule metabolic process","macromolecule biosynthetic process, protein metabolic process",,,,,,,
K1_cpdb_374,GO:0051276,biological_process,cellular process,cellular component organization or biogenesis,cellular component organization,organelle organization,,,,,,,
K1_cpdb_378,GO:0010880,biological_process,biological regulation,regulation of biological process,"regulation of localization, regulation of cellular process","regulation of transmembrane transport, regulation of sequestering of calcium ion, regulation of transport","regulation of monoatomic ion transport, regulation of monoatomic ion transmembrane transport, regulation of release of sequestered calcium ion into cytosol","regulation of metal ion transport, regulation of monoatomic cation transmembrane transport","regulation of calcium ion transport, regulation of calcium ion transmembrane transport",,,,
