module,KEGG_ID,0_Level_Pathway,1_Level_Pathway,2_Level_Pathway
K1_cpdb_1,hsa04974,Organismal Systems,Digestive system,Protein digestion and absorption
K1_cpdb_11,hsa04061,Environmental Information Processing,Signaling molecules and interaction,Viral protein interaction with cytokine and cytokine receptor
K1_cpdb_12,hsa04975,Organismal Systems,Digestive system,Fat digestion and absorption
K1_cpdb_15,hsa05320,Human Diseases,Immune disease,Autoimmune thyroid disease
K1_cpdb_19,hsa00053,Metabolism,Carbohydrate metabolism,Ascorbate and aldarate metabolism
K1_cpdb_23,hsa05217,Human Diseases,Cancer: specific types,Basal cell carcinoma
K1_cpdb_24,hsa04130,Genetic Information Processing,"Folding, sorting and degradation",SNARE interactions in vesicular transport
K1_cpdb_28,hsa00190,Metabolism,Energy metabolism,Oxidative phosphorylation
K1_cpdb_29,hsa00563,Metabolism,Glycan biosynthesis and metabolism,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
K1_cpdb_30,hsa03020,Genetic Information Processing,Transcription,RNA polymerase
K1_cpdb_37,hsa04350,Environmental Information Processing,Signal transduction,TGF-beta signaling pathway
K1_cpdb_39,hsa04650,Organismal Systems,Immune system,Natural killer cell mediated cytotoxicity
K1_cpdb_41,hsa04350,Environmental Information Processing,Signal transduction,TGF-beta signaling pathway
K1_cpdb_42,hsa00970,Genetic Information Processing,Translation,Aminoacyl-tRNA biosynthesis
K1_cpdb_43,hsa05218,Human Diseases,Cancer: specific types,Melanoma
K1_cpdb_47,hsa04650,Organismal Systems,Immune system,Natural killer cell mediated cytotoxicity
K1_cpdb_49,hsa04061,Environmental Information Processing,Signaling molecules and interaction,Viral protein interaction with cytokine and cytokine receptor
K1_cpdb_52,hsa04080,Environmental Information Processing,Signaling molecules and interaction,Neuroactive ligand-receptor interaction
K1_cpdb_56,hsa04620,Organismal Systems,Immune system,Toll-like receptor signaling pathway
K1_cpdb_59,hsa05320,Human Diseases,Immune disease,Autoimmune thyroid disease
K1_cpdb_60,hsa03050,Genetic Information Processing,"Folding, sorting and degradation",Proteasome
K1_cpdb_61,hsa04724,Organismal Systems,Nervous system,Glutamatergic synapse
K1_cpdb_62,hsa04080,Environmental Information Processing,Signaling molecules and interaction,Neuroactive ligand-receptor interaction
K1_cpdb_78,hsa03018,Genetic Information Processing,"Folding, sorting and degradation",RNA degradation
K1_cpdb_85,hsa03013,Genetic Information Processing,Translation,Nucleocytoplasmic transport
K1_cpdb_121,hsa04060,Environmental Information Processing,Signaling molecules and interaction,Cytokine-cytokine receptor interaction
K1_cpdb_158,hsa03460,Genetic Information Processing,Replication and repair,Fanconi anemia pathway
K1_cpdb_181,hsa04144,Cellular Processes,Transport and catabolism,Endocytosis
K1_cpdb_219,hsa00053,Metabolism,Carbohydrate metabolism,Ascorbate and aldarate metabolism
K1_cpdb_230,hsa04670,Organismal Systems,Immune system,Leukocyte transendothelial migration
K1_cpdb_248,hsa04630,Environmental Information Processing,Signal transduction,JAK-STAT signaling pathway
K1_cpdb_251,hsa05033,Human Diseases,Substance dependence,Nicotine addiction
K1_cpdb_270,hsa03020,Genetic Information Processing,Transcription,RNA polymerase
K1_cpdb_278,hsa04142,Cellular Processes,Transport and catabolism,Lysosome
