module,REAC_ID,0_Level_Pathway,1_Level_Pathway,2_Level_Pathway,3_Level_Pathway,4_Level_Pathway,5_Level_Pathway,6_Level_Pathway,7_Level_Pathway,8_Level_Pathway
K1_cpdb_1,R-HSA-8948216,Extracellular matrix organization,Collagen formation,Collagen biosynthesis and modifying enzymes,Collagen chain trimerization,,,,,
K1_cpdb_5,R-HSA-420499,Signal Transduction,Signaling by GPCR,GPCR ligand binding,Class C/3 (Metabotropic glutamate/pheromone receptors),,,,,
K1_cpdb_6,R-HSA-418990,Cell-Cell communication,Cell junction organization,Cell-cell junction organization,Adherens junctions interactions,,,,,
K1_cpdb_8,R-HSA-2172127,Immune System,Innate Immune System,DAP12 interactions,,,,,,
K1_cpdb_10,R-HSA-425407,Transport of small molecules,SLC-mediated transmembrane transport,,,,,,,
K1_cpdb_11,R-HSA-380108,Signal Transduction,Signaling by GPCR,GPCR ligand binding,Class A/1 (Rhodopsin-like receptors),Peptide ligand-binding receptors,Chemokine receptors bind chemokines,,,
K1_cpdb_12,R-HSA-192456,Digestion and absorption,Digestion,Digestion of dietary lipid,,,,,,
K1_cpdb_15,R-HSA-912694,Immune System,Cytokine Signaling in Immune system,Interferon Signaling,Interferon alpha/beta signaling,Regulation of IFNA/IFNB signaling,,,,
K1_cpdb_16,R-HSA-6809371,Developmental Biology,Keratinization,Formation of the cornified envelope,,,,,,
K1_cpdb_18,R-HSA-9752946,Sensory Perception,Olfactory Signaling Pathway,Expression and translocation of olfactory receptors,,,,,,
K1_cpdb_19,R-HSA-156588,Metabolism,Biological oxidations,Phase II - Conjugation of compounds,Glucuronidation,,,,,
K1_cpdb_20,R-HSA-1474228,Extracellular matrix organization,Degradation of the extracellular matrix,,,,,,,
K1_cpdb_21,R-HSA-156902,Metabolism of proteins,Translation,Eukaryotic Translation Elongation,Peptide chain elongation,,,,,
K1_cpdb_22,R-HSA-5368287,Metabolism of proteins,Translation,Mitochondrial translation,,,,,,
K1_cpdb_23,R-HSA-3238698,Signal Transduction,Signaling by WNT,WNT ligand biogenesis and trafficking,,,,,,
K1_cpdb_24,R-HSA-6811442,Vesicle-mediated transport,Membrane Trafficking,Intra-Golgi and retrograde Golgi-to-ER traffic,,,,,,
K1_cpdb_25,R-HSA-8876198,Vesicle-mediated transport,Membrane Trafficking,Rab regulation of trafficking,RAB GEFs exchange GTP for GDP on RABs,,,,,
K1_cpdb_27,R-HSA-5620924,Organelle biogenesis and maintenance,Cilium Assembly,Intraflagellar transport,,,,,,
K1_cpdb_28,R-HSA-611105,Metabolism,Aerobic respiration and respiratory electron transport,Respiratory electron transport,,,,,,
K1_cpdb_29,R-HSA-162710,Metabolism of proteins,Post-translational protein modification,Post-translational modification: synthesis of GPI-anchored proteins,Synthesis of glycosylphosphatidylinositol (GPI),,,,,
K1_cpdb_30,R-HSA-9843745,Developmental Biology,Adipogenesis,,,,,,,
K1_cpdb_32,R-HSA-3238698,Signal Transduction,Signaling by WNT,WNT ligand biogenesis and trafficking,,,,,,
K1_cpdb_34,R-HSA-5419276,Metabolism of proteins,Translation,Mitochondrial translation,Mitochondrial translation termination,,,,,
K1_cpdb_37,R-HSA-1502540,Signal Transduction,Signaling by TGFB family members,Signaling by Activin,,,,,,
K1_cpdb_42,R-HSA-379726,Metabolism of proteins,Translation,tRNA Aminoacylation,Mitochondrial tRNA aminoacylation,,,,,
K1_cpdb_43,R-HSA-190241,Signal Transduction,Signaling by Receptor Tyrosine Kinases,Signaling by FGFR,Signaling by FGFR2,FGFR2 ligand binding and activation,,,,
K1_cpdb_46,R-HSA-1296072,Neuronal System,Potassium Channels,Voltage gated Potassium channels,,,,,,
K1_cpdb_47,R-HSA-2172127,Immune System,Innate Immune System,DAP12 interactions,,,,,,
K1_cpdb_49,R-HSA-1592389,Extracellular matrix organization,Degradation of the extracellular matrix,Activation of Matrix Metalloproteinases,,,,,,
K1_cpdb_50,R-HSA-5389840,Metabolism of proteins,Translation,Mitochondrial translation,Mitochondrial translation elongation,,,,,
K1_cpdb_51,R-HSA-622323,Neuronal System,Transmission across Chemical Synapses,Neurotransmitter receptors and postsynaptic signal transmission,Acetylcholine binding and downstream events,Presynaptic nicotinic acetylcholine receptors,,,,
K1_cpdb_52,R-HSA-622323,Neuronal System,Transmission across Chemical Synapses,Neurotransmitter receptors and postsynaptic signal transmission,Acetylcholine binding and downstream events,Presynaptic nicotinic acetylcholine receptors,,,,
K1_cpdb_56,R-HSA-5602358,Disease,Diseases of Immune System,Diseases associated with the TLR signaling cascade,,,,,,
K1_cpdb_58,R-HSA-6809371,Developmental Biology,Keratinization,Formation of the cornified envelope,,,,,,
K1_cpdb_59,R-HSA-912694,Immune System,Cytokine Signaling in Immune system,Interferon Signaling,Interferon alpha/beta signaling,Regulation of IFNA/IFNB signaling,,,,
K1_cpdb_60,R-HSA-1236978,Immune System,Adaptive Immune System,Class I MHC mediated antigen processing & presentation,Antigen processing-Cross presentation,Cross-presentation of soluble exogenous antigens (endosomes),,,,
K1_cpdb_61,R-HSA-6794361,Neuronal System,Protein-protein interactions at synapses,Neurexins and neuroligins,,,,,,
K1_cpdb_62,R-HSA-500792,Signal Transduction,Signaling by GPCR,GPCR ligand binding,,,,,,
K1_cpdb_66,R-HSA-6809371,Developmental Biology,Keratinization,Formation of the cornified envelope,,,,,,
